H0;G0;G3
0,049863395;0,015558837;0,02566814
0,052286154;0,016180043;0,025568492
0,054586073;0,016702037;0,025393922
0,056916825;0,017174174;0,025194377
0,059278164;0,017596704;0,025044531
0,061516663;0,017944699;0,024944883
0,063356795;0,018267767;0,024894934
0,064583221;0,018566155;0,024894934
0,064951248;0,018889223;0,024944883
0,064460628;0,01921229;0,025069505
0,063141949;0,019485751;0,025194377
0,060995456;0,019734283;0,025343973
0,058143498;0,019908281;0,025493569
0,054800673;0,020007744;0,025543518
0,051304914;0,019957888;0,025468595
0,047992923;0,019734283;0,025194377
0,045079544;0,019336681;0,024670415
0,042595612;0,018814688;0,024021831
0,040510293;0,018243088;0,023398221
0,038793001;0,01764656;0,022924208
0,037412901;0,017124567;0,022724663
0,036217062;0,01665243;0,022749637
0,035204989;0,016204971;0,022899483
0,034192916;0,015782441;0,023074054
0,033211677;0,015409767;0,023223651
0,032475624;0,015210841;0,023298574
0,032261024;0,015359911;0,023348273
0,032935657;0,016030974;0,023373247
0,034622363;0,017273636;0,023423196
0,037075708;0,018889223;0,023523093
0,039866247;0,020529737;0,023747363
0,042626199;0,021822007;0,024146703
0,045018124;0,022567604;0,024720363
0,047072857;0,022890672;0,025493569
0,048974162;0,022940528;0,026366673
0,050783461;0,022990135;0,027314699
0,052592761;0,023139204;0,028237502
0,054095453;0,023363058;0,029010957
0,054923513;0,023512128;0,029410047
0,054616659;0,023462521;0,029260201
0,053022207;0,023114526;0,028486995
0,050507442;0,022567604;0,027289725
0,047716903;0,021871863;0,025992557
0,045171551;0,021126016;0,024894934
0,043362252;0,020405346;0,024221376
0,042074159;0,019734283;0,023922183
0,041000913;0,019112827;0,023797311
0,039804827;0,018566155;0,023697664
0,038271548;0,018094018;0,023473144
0,036370242;0,017671488;0,023148727
0,03422375;0,01722403;0,022749637
0,031892997;0,016726965;0,022325573
0,029501072;0,016155365;0,021901508
0,027109147;0,015558837;0,021552367
0,024747808;0,015011915;0,021377796
0,022447889;0,014639241;0,021427495
0,026833127;0,015707906;0,021901508
0,024870401;0,015160985;0,02202638
0,022999682;0,014639241;0,022200951
0,021190383;0,014166855;0,022475419
0,019442504;0,013744324;0,022774612
0,017847804;0,013346722;0,02304908
0,016437118;0,01294912;0,023173702
0,015302452;0,012551518;0,023074054
0,014505226;0,012104059;0,022699689
0,013953186;0,011656601;0,022126028
0,013554573;0,011234071;0,021552367
0,013278553;0,010911003;0,021128302
0,013002534;0,010687399;0,020953732
0,012726514;0,010563008;0,020953732
0,012481327;0,010488473;0,020953732
0,012266481;0,010438866;0,02082886
0,012051881;0,010413938;0,020479718
0,011898454;0,01038901;0,020105603
0,011806447;0,01038901;0,019980731
0,011745274;0,010438866;0,020355096
0,011745274;0,010587936;0,021427495
0,011775861;0,010786862;0,022849535
0,011867867;0,011035394;0,024196402
0,011990461;0,01138314;0,025044531
0,012174474;0,011780992;0,025119454
0,012389321;0,012178594;0,02464544
0,012665094;0,01252659;0,023996856
0,013002534;0,012775122;0,023523093
0,013493153;0,012874585;0,023547818
0,014290626;0,012849657;0,023872234
0,015670479;0,012725266;0,024346248
0,017878391;0,012551518;0,024745338
0,021037203;0,012327664;0,02486996
0,024931821;0,012178594;0,024844985
0,029194465;0,012128987;0,024745338
0,033426277;0,012302985;0,024745338
0,037382315;0,012750194;0,024894934
0,041000913;0,01337165;0,025169402
0,044282318;0,014117248;0,025468595
0,047226283;0,014862846;0,025643166
0,049863395;0,015558837;0,02566814
0,052286154;0,016180043;0,025568492
0,054586073;0,016702037;0,025393922
0,056916825;0,017174174;0,025194377
0,059278164;0,017596704;0,025044531
0,061516663;0,017944699;0,024944883
0,063356795;0,018267767;0,024894934
0,064583221;0,018566155;0,024894934
0,064951248;0,018889223;0,024944883
0,064460628;0,01921229;0,025069505
0,063141949;0,019485751;0,025194377
0,060995456;0,019734283;0,025343973
0,058143498;0,019908281;0,025493569
0,054800673;0,020007744;0,025543518
0,051304914;0,019957888;0,025468595
0,047992923;0,019734283;0,025194377
0,045079544;0,019336681;0,024670415
0,042595612;0,018814688;0,024021831
0,040510293;0,018243088;0,023398221
0,038793001;0,01764656;0,022924208
0,037412901;0,017124567;0,022724663
0,036217062;0,01665243;0,022749637
0,035204989;0,016204971;0,022899483
0,034192916;0,015782441;0,023074054
0,033211677;0,015409767;0,023223651
0,032475624;0,015210841;0,023298574
0,032261024;0,015359911;0,023348273
0,032935657;0,016030974;0,023373247
0,034622363;0,017273636;0,023423196
0,037075708;0,018889223;0,023523093
0,039866247;0,020529737;0,023747363
0,042626199;0,021822007;0,024146703
0,045018124;0,022567604;0,024720363
0,047072857;0,022890672;0,025493569
0,048974162;0,022940528;0,026366673
0,050783461;0,022990135;0,027314699
0,052592761;0,023139204;0,028237502
0,054095453;0,023363058;0,029010957
0,054923513;0,023512128;0,029410047
0,054616659;0,023462521;0,029260201
0,053022207;0,023114526;0,028486995
0,050507442;0,022567604;0,027289725
0,047716903;0,021871863;0,025992557
0,045171551;0,021126016;0,024894934
0,043362252;0,020405346;0,024221376
0,042074159;0,019734283;0,023922183
0,041000913;0,019112827;0,023797311
0,039804827;0,018566155;0,023697664
0,038271548;0,018094018;0,023473144
0,036370242;0,017671488;0,023148727
0,03422375;0,01722403;0,022749637
0,031892997;0,016726965;0,022325573
0,029501072;0,016155365;0,021901508
0,027109147;0,015558837;0,021552367
0,024747808;0,015011915;0,021377796
0,022447889;0,014639241;0,021427495
